"bin"	"sample_id"	"seqnames"	"arm"	"start"	"end"	"gc"	"median_frag_gc"	"median_ratio"	"sd_ratio"	"median_ratio_corrected"	"sd_ratio_corrected"	"median_ratio_centered"	"sd_ratio_centered"	"median_coverage"	"sd_coverage"	"median_coverage_corrected"	"sd_coverage_corrected"	"median_coverage_centered"	"sd_coverage_centered"	"median_combined"	"sd_combined"	"median_combined_centered"	"sd_combined_centered"	"median_mode_size"	"median_mean_size"	"sd_mean_size"	"median_median_size"	"sd_median_size"	"median_q25_size"	"median_q75_size"
1	"median"	"chr1"	"1p"	100000	5499999	0.5293298	0.538139833762648	0.213861736253189	0.0495542152864209	0.18642002100027	0.0500276521996662	-0.0194960394619743	0.00470183611837293	0.000374524992237431	8.49694166151475e-05	0.000304556846075775	6.33745537151985e-05	-0.00499120775080225	0.00278915857789675	5.60990463540215e-05	2.68929833864822e-05	-0.010248914625833	0.00332438173277588	166	166.71	3.12905477892667	167	2.4338877385388	157	178
2	"median"	"chr1"	"1p"	5500000	10499999	0.4820526	0.490701034535805	0.22613581235827	0.0539304257411155	0.205768954921963	0.0542821797972282	0.00303906150215802	0.00395118333800286	0.000442632886867096	9.35819804131467e-05	0.00036637746865927	7.76507736706937e-05	0.0100946279677011	0.00253988996699347	7.51789861944076e-05	3.43689137423592e-05	0.0100604897171674	0.00339682188776116	166	166.71	3.12905477892667	167	2.4338877385388	157	178
3	"median"	"chr1"	"1p"	10500000	15699999	0.4742324	0.481965122171653	0.214211430091663	0.0517588848623293	0.195059692824904	0.0520252487705522	-0.0106932995791681	0.00481948854689633	0.000403499277161289	8.48099278672954e-05	0.000356050145237527	7.06840536650192e-05	0.00161351065104622	0.00443468711349875	6.75431595225248e-05	3.02978968499192e-05	-0.00171119819142166	0.0050446157848393	166	166.71	3.12905477892667	167	2.4338877385388	157	178
4	"median"	"chr1"	"1p"	15700000	20899999	0.4893848	0.496380354024459	0.213466006430264	0.0523599630062956	0.194860200110399	0.0529507273583387	-0.0110689737171543	0.00369370728283407	0.00041966967453182	9.10284390500304e-05	0.000346635685034287	7.4039461595642e-05	0.00489347591291493	0.00273223472639024	6.45891160149943e-05	3.20863621026197e-05	0.000953859239488101	0.00304269108315527	166	166.71	3.12905477892667	167	2.4338877385388	157	178
5	"median"	"chr1"	"1p"	20900000	25899999	0.4751372	0.483005460738064	0.229548577799673	0.0550695510722114	0.209311590387826	0.0554050260528542	0.00636100597752775	0.00555252717017677	0.000404439458443332	8.65713303071562e-05	0.000335664785421862	7.25593989293623e-05	0.00151281883357641	0.00319726002646304	6.9996096943574e-05	3.23255732620783e-05	0.00345578547548098	0.00454613656135344	166	166.71	3.12905477892667	167	2.4338877385388	157	178
6	"median"	"chr1"	"1p"	25900000	30999999	0.4757814	0.484247298194898	0.235397993311037	0.0556881601656114	0.214943846593054	0.0561016217255187	0.0165506852173977	0.00507185687826825	0.00040608740246872	8.63213156348732e-05	0.000325248642086381	7.22244701934642e-05	-0.000347624583165875	0.00257162947597709	6.9867110852022e-05	3.28865881155434e-05	0.00465236914019938	0.00375061718687307	166	166.71	3.12905477892667	167	2.4338877385388	157	178
7	"median"	"chr1"	"1p"	31000000	35999999	0.4553916	0.464461107224481	0.220420597484277	0.0539028315706012	0.206762288686756	0.0544535652871831	0.00281945954030025	0.00353879670175916	0.000432096152278159	8.39059250186411e-05	0.00034797649995301	7.67051478706202e-05	0.00783475827014657	0.00168553331148712	7.19484175394914e-05	3.39497460297554e-05	0.00815036357263614	0.00231780494133973	166	166.71	3.12905477892667	167	2.4338877385388	157	178
8	"median"	"chr1"	"1p"	36000000	40999999	0.462895	0.471580810457345	0.221698667481375	0.053518121476051	0.204809478713892	0.0541041752107362	0.00724112601337697	0.00385106350618147	0.00043259427181684	8.51901062325059e-05	0.000352557468434732	7.54329867121905e-05	0.00865018720809358	0.0021770005290578	7.22071113268067e-05	3.36891565999936e-05	0.010453959345473	0.00299213863271598	166	166.71	3.12905477892667	167	2.4338877385388	157	178
9	"median"	"chr1"	"1p"	41000000	45999999	0.4507228	0.459138607972086	0.233858360810793	0.056575819724424	0.221215944667876	0.0570460652481017	0.0132981378829742	0.00592096823084071	0.000409123586001221	8.3345138806177e-05	0.000350252376849995	7.69964021861712e-05	0.00592747018207309	0.00233092363126855	7.74814104170403e-05	3.51997665705029e-05	0.00916807289589714	0.00386964805334112	166	166.71	3.12905477892667	167	2.4338877385388	157	178
10	"median"	"chr1"	"1p"	46000000	50999999	0.4217884	0.430322522412889	0.203085849927469	0.0518211922536123	0.19511701072379	0.0527145510237371	-0.00950175057239374	0.00312421280689147	0.000372129448838194	7.47268746112705e-05	0.000342183050698311	7.4875645118419e-05	0.00469103605419912	0.00163715013812725	6.6275236559353e-05	3.2111554701453e-05	0.0013291854318039	0.00218412744478758	166	166.71	3.12905477892667	167	2.4338877385388	157	178
11	"median"	"chr1"	"1p"	51000000	55999999	0.4409982	0.450743688813666	0.217065440308247	0.0544987801121534	0.204735676345659	0.0551977994618782	0.00198790401192165	0.00499060015178069	0.000420361168825366	8.01098999446181e-05	0.000351325510421839	7.67292866748079e-05	0.00752364767504451	0.00168838104406753	7.1928865993699e-05	3.39998162934877e-05	0.00773306685330985	0.00298010696444946	166	166.71	3.12905477892667	167	2.4338877385388	157	178
12	"median"	"chr1"	"1p"	56000000	60999999	0.4032708	0.412432769631432	0.20069033530572	0.054412345927267	0.200006433858728	0.0545739585738663	-0.0020349406627306	0.00478585584812543	0.000368351730739752	7.57437928004229e-05	0.00036997128732244	7.42663531534553e-05	0.00606397892799539	0.00410997851099853	7.36739992364287e-05	3.26897903459743e-05	0.00484241936585244	0.00456156397856726	166	166.71	3.12905477892667	167	2.4338877385388	157	178
