"bin"	"sample_id"	"seqnames"	"arm"	"start"	"end"	"gc"	"median_frag_gc"	"median_ratio"	"sd_ratio"	"median_ratio_corrected"	"sd_ratio_corrected"	"median_ratio_centered"	"sd_ratio_centered"	"median_coverage"	"sd_coverage"	"median_coverage_corrected"	"sd_coverage_corrected"	"median_coverage_centered"	"sd_coverage_centered"	"median_combined"	"sd_combined"	"median_combined_centered"	"sd_combined_centered"	"median_mode_size"	"median_mean_size"	"sd_mean_size"	"median_median_size"	"sd_median_size"	"median_q25_size"	"median_q75_size"
"1"	1	"median"	"chr1"	"1p"	100000	5499999	0.5293298	0.538139833762648	0.213861736253189	0.0495542152864209	0.18642002100027	0.0500276521996662	-0.0192187973523796	0.00470090605034624	0.000374524992237431	8.49694166151475e-05	0.000304556846075775	6.33745537151985e-05	-0.00510674348900561	0.00284835386404142	5.60990463540215e-05	2.68929833864822e-05	-0.0103664481430358	0.00336047959203843	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"2"	2	"median"	"chr1"	"1p"	5500000	10499999	0.4820526	0.490701034535805	0.22613581235827	0.0539304257411155	0.205768954921963	0.0542821797972282	0.00308009371723596	0.0039134116099565	0.000442632886867096	9.35819804131467e-05	0.00036637746865927	7.76507736706937e-05	0.0102960644304312	0.00256753134383429	7.51789861944076e-05	3.43689137423592e-05	0.0102699683962343	0.00341543711907107	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"3"	3	"median"	"chr1"	"1p"	10500000	15699999	0.4742324	0.481965122171653	0.214211430091663	0.0517588848623293	0.195059692824904	0.0520252487705522	-0.0104878069306315	0.00482121529854463	0.000403499277161289	8.48099278672954e-05	0.000356050145237527	7.06840536650192e-05	0.00166376556462062	0.00451176731193378	6.75431595225248e-05	3.02978968499192e-05	-0.00173285787553534	0.00508310578431362	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"4"	4	"median"	"chr1"	"1p"	15700000	20899999	0.4893848	0.496380354024459	0.213466006430264	0.0523599630062956	0.194860200110399	0.0529507273583387	-0.0109008893083996	0.00368668330381983	0.00041966967453182	9.10284390500304e-05	0.000346635685034287	7.4039461595642e-05	0.00504585548121163	0.00277299172208417	6.45891160149943e-05	3.20863621026197e-05	0.00102152760885535	0.00306038921295428	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"5"	5	"median"	"chr1"	"1p"	20900000	25899999	0.4751372	0.483005460738064	0.229548577799673	0.0550695510722114	0.209311590387826	0.0554050260528542	0.00626055358510185	0.00549751658402694	0.000404439458443332	8.65713303071562e-05	0.000335664785421862	7.25593989293623e-05	0.00160708543127171	0.00325021861711494	6.9996096943574e-05	3.23255732620783e-05	0.00351149044306386	0.00457392650597436	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"6"	6	"median"	"chr1"	"1p"	25900000	30999999	0.4757814	0.484247298194898	0.235397993311037	0.0556881601656114	0.214943846593054	0.0561016217255187	0.0165765551664102	0.00504454226355904	0.00040608740246872	8.63213156348732e-05	0.000325248642086381	7.22244701934642e-05	-0.00030646537994529	0.00262191202297174	6.9867110852022e-05	3.28865881155434e-05	0.00477507225250095	0.00378280723473298	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"7"	7	"median"	"chr1"	"1p"	31000000	35999999	0.4553916	0.464461107224481	0.220420597484277	0.0539028315706012	0.206762288686756	0.0544535652871831	0.00298423571200603	0.00349865439001514	0.000432096152278159	8.39059250186411e-05	0.00034797649995301	7.67051478706202e-05	0.00807860472723956	0.00170534978769063	7.19484175394914e-05	3.39497460297554e-05	0.00829001877563278	0.00232932279258682	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"8"	8	"median"	"chr1"	"1p"	36000000	40999999	0.462895	0.471580810457345	0.221698667481375	0.053518121476051	0.204809478713892	0.0541041752107362	0.00729504522226202	0.00383413012617615	0.00043259427181684	8.51901062325059e-05	0.000352557468434732	7.54329867121905e-05	0.00886910518815479	0.0022068839190449	7.22071113268067e-05	3.36891565999936e-05	0.0105990904310407	0.00301694703328184	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"9"	9	"median"	"chr1"	"1p"	41000000	45999999	0.4507228	0.459138607972086	0.233858360810793	0.056575819724424	0.221215944667876	0.0570460652481017	0.0133684638031476	0.00589891097889829	0.000409123586001221	8.3345138806177e-05	0.000350252376849995	7.69964021861712e-05	0.00611102394902605	0.00236725590421575	7.74814104170403e-05	3.51997665705029e-05	0.00936139930409274	0.00388112473247348	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"10"	10	"median"	"chr1"	"1p"	46000000	50999999	0.4217884	0.430322522412889	0.203085849927469	0.0518211922536123	0.19511701072379	0.0527145510237371	-0.00942665985819926	0.0030983009245632	0.000372129448838194	7.47268746112705e-05	0.000342183050698311	7.4875645118419e-05	0.00483414938722951	0.00168148617524322	6.6275236559353e-05	3.2111554701453e-05	0.00141512261292645	0.00221686743495571	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"11"	11	"median"	"chr1"	"1p"	51000000	55999999	0.4409982	0.450743688813666	0.217065440308247	0.0544987801121534	0.204735676345659	0.0551977994618782	0.00209719267456792	0.00496666897413839	0.000420361168825366	8.01098999446181e-05	0.000351325510421839	7.67292866748079e-05	0.00775053587573896	0.0017046916143443	7.1928865993699e-05	3.39998162934877e-05	0.0078860668581965	0.00300966278636113	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"12"	12	"median"	"chr1"	"1p"	56000000	60999999	0.4032708	0.412432769631432	0.20069033530572	0.054412345927267	0.200006433858728	0.0545739585738663	-0.00183459443984064	0.0047749065838003	0.000368351730739752	7.57437928004229e-05	0.00036997128732244	7.42663531534553e-05	0.0062561974937387	0.0041784062117963	7.36739992364287e-05	3.26897903459743e-05	0.00498368488536105	0.0045944354610672	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"13"	13	"median"	"chr1"	"1p"	61000000	65999999	0.4018454	0.409830693396197	0.206543797887761	0.0554480672279727	0.205497206544725	0.0558483368479097	0.00172150328424327	0.00276235616654944	0.000362297695325582	7.66031281054826e-05	0.000359215642306055	7.61031221719863e-05	0.0062585126219483	0.0017790019755091	7.3817811041063e-05	3.4117099050521e-05	0.00575756330328618	0.00219763708639818	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"14"	14	"median"	"chr1"	"1p"	66000000	70999999	0.3822582	0.391480601015099	0.201667284179326	0.0557513148525901	0.204373663279656	0.0559110674672586	-0.000698085092920925	0.00437567593441288	0.000311508757728485	7.89642085298363e-05	0.000339126666438611	7.62086537233972e-05	0.00399861920895146	0.00179262241128418	6.9308559135877e-05	3.38838888840444e-05	0.00337035974504877	0.00272435514892581	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"15"	15	"median"	"chr1"	"1p"	71000000	75999999	0.3603798	0.37085916589697	0.183605578538832	0.0543393694297181	0.19388489892704	0.0540436714792773	-0.0055744369580012	0.00474717461236638	0.000259928188550182	8.27683739959016e-05	0.000326772697292348	7.70024900444478e-05	0.00125295911346441	0.00323004692741635	6.33562913866432e-05	3.26611526526994e-05	-0.000561041718169469	0.00366839846683969	166	166.71	3.12905477892667	167	2.4338877385388	157	178
